"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","node-20.18.0","prisma","read-by-id","20","20","0","402,96","8,78","12,14","12,83","12,14","12,83","80","4","107,3","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","paginated-list","20","20","0","848,87","4,03","5,38","6,5","5,38","6,5","20","1","107,9","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","relation-summary-naive","20","20","0","15,07","256,21","306,28","321,46","306,28","321,46","4020","201","141,7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","relation-summary-optimized","20","20","0","381,17","9,82","12,96","13,25","12,96","13,25","40","2","142,1","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","n-plus-one-trap-naive","20","20","0","31,94","124,47","135,57","143,9","135,57","143,9","2060","103","150,1","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","n-plus-one-trap-optimized","20","20","0","162,63","20,02","29","35,81","29","35,81","80","4","149,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","transaction-write","20","20","0","282,16","13,79","16,81","17,6","16,81","17,6","140","7","149,8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","prisma","report-aggregation","20","20","0","363,67","10,01","15,46","16,64","15,46","16,64","20","1","150,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","read-by-id","20","20","0","310,73","10,46","15,84","24,16","15,84","24,16","20","1","85,4","16","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","paginated-list","20","20","0","242,66","13,11","28,32","39,24","28,32","39,24","20","1","90,5","18","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","relation-summary-naive","20","20","0","16,87","229,82","276,1","279,77","276,1","279,77","4020","201","80,4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","relation-summary-optimized","20","20","0","203,75","18,96","24,93","25,78","24,93","25,78","40","2","89,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","n-plus-one-trap-naive","20","20","0","10,67","310,13","593,45","622","593,45","622","6020","301","82,8","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","n-plus-one-trap-optimized","20","20","0","322,93","10,71","15,1","21,76","15,1","21,76","40","2","91,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","transaction-write","20","20","0","269,17","13,97","16,53","16,76","16,53","16,76","100","5","95,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-20.18.0","jdbc","report-aggregation","20","20","0","192,16","16,13","37,61","38,36","37,61","38,36","20","1","80,9","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
