"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","editorial","java-21","prisma","read-by-id","300","300","0","282,25","48,66","108,53","149,9","108,53","149,9","1200","4","129,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","paginated-list","300","300","0","448,58","30,15","79,64","85,07","79,64","85,07","300","1","137,7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","relation-summary-naive","300","300","0","3,03","5196,74","6557,56","7306,45","6557,56","7306,45","60391","201,3","284,6","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","relation-summary-optimized","300","300","0","31,65","486,78","785,26","940,02","785,26","940,02","613","2,04","285,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","n-plus-one-trap-naive","300","300","0","31,05","497,7","659,38","734,17","659,38","734,17","30900","103","326,1","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","n-plus-one-trap-optimized","300","300","0","199,82","75,82","107,62","136,57","107,62","136,57","1200","4","308,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","transaction-write","300","300","0","178,81","76,66","165,62","203,86","165,62","203,86","2111","7,04","308,9","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","prisma","report-aggregation","300","300","0","136,06","107,76","197,74","220,2","197,74","220,2","300","1","314,1","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","read-by-id","300","300","0","217,44","61,59","172,35","235,12","172,35","235,12","300","1","85,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","paginated-list","300","300","0","338,1","43,34","87,67","100,13","87,67","100,13","300","1","91,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","relation-summary-naive","300","300","0","3,19","4448,28","8139,77","10229,73","8139,77","10229,73","60300","201","96,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","relation-summary-optimized","300","300","0","23,53","606,23","1160,61","1701,71","1160,61","1701,71","600","2","95,8","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","n-plus-one-trap-naive","300","300","0","13,72","1084,85","1894,59","2345,08","1894,59","2345,08","90300","301","91","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","n-plus-one-trap-optimized","300","300","0","325,56","41,55","106,51","147,3","106,51","147,3","600","2","97,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","transaction-write","300","300","0","258,09","50,93","125,46","160,06","125,46","160,06","1500","5","107,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","editorial","java-21","jdbc","report-aggregation","300","300","0","126,14","114,92","213,29","278,5","213,29","278,5","300","1","108,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","read-by-id","300","300","0","223,7","68,05","120,33","152,41","120,33","152,41","1202","4,01","156,4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","paginated-list","300","300","0","407,32","34,41","79,16","84,07","79,16","84,07","300","1","159,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","relation-summary-naive","300","300","0","3,8","4127,77","5274,73","6098,5","5274,73","6098,5","60365","201,22","296,4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","relation-summary-optimized","300","300","0","34,56","414,53","753,01","964,8","753,01","964,8","613","2,04","295,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","n-plus-one-trap-naive","300","300","0","24,51","610,75","1021,91","1169,92","1021,91","1169,92","30900","103","369,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","n-plus-one-trap-optimized","300","300","0","161,12","94,13","137,51","151,33","137,51","151,33","1213","4,04","369,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","transaction-write","300","300","0","270,23","52,26","102,36","116,71","102,36","116,71","2100","7","369,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","prisma","report-aggregation","300","300","0","118,29","126,81","223,88","268,79","223,88","268,79","300","1","369,4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","jdbc","read-by-id","300","300","0","566,41","26,6","42,97","51,97","42,97","51,97","300","1","91,9","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","jdbc","paginated-list","300","300","0","500,49","26,92","65,34","81,77","65,34","81,77","300","1","108,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","jdbc","relation-summary-naive","300","300","0","3,14","4551,31","8486,18","10776,67","8486,18","10776,67","60300","201","106,6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","jdbc","relation-summary-optimized","300","300","0","28,8","498,84","943,34","1214,57","943,34","1214,57","600","2","101,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"2","editorial","java-21","jdbc","n-plus-one-trap-naive","300","300","0","13,87","1077,75","1716,03","2010,57","1716,03","2010,57","90300","301","90,4","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
