"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","java-25","prisma","read-by-id","20","20","0","351,13","9,72","14,1","20,36","14,1","20,36","80","4","124,9","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","paginated-list","20","20","0","576,77","6,83","9,81","10,24","9,81","10,24","20","1","125,2","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","relation-summary-naive","20","20","0","11,03","303,56","492,16","527,45","492,16","527,45","4020","201","159,6","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","relation-summary-optimized","20","20","0","381,03","9,61","11,34","13,85","11,34","13,85","40","2","159,9","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","n-plus-one-trap-naive","20","20","0","20","172,28","319,73","361,51","319,73","361,51","2060","103","189,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","n-plus-one-trap-optimized","20","20","0","173,75","21,76","27,2","27,95","27,2","27,95","80","4","189,7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","transaction-write","20","20","0","185,6","17,13","30,07","33,24","30,07","33,24","140","7","189,5","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","prisma","report-aggregation","20","20","0","238,86","12,67","18,05","32,72","18,05","32,72","20","1","190,6","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","read-by-id","20","20","0","257,91","12,14","22,89","25,87","22,89","25,87","20","1","85,5","16","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","paginated-list","20","20","0","228,6","14,76","25,35","25,58","25,35","25,58","20","1","90,5","18","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","relation-summary-naive","20","20","0","9,14","393,13","691,57","721,17","691,57","721,17","4020","201","81,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","relation-summary-optimized","20","20","0","91,98","38,34","61,91","70,98","61,91","70,98","40","2","90","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","n-plus-one-trap-naive","20","20","0","10,17","407,12","441,75","442,74","441,75","442,74","6020","301","83,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","n-plus-one-trap-optimized","20","20","0","105,53","30,54","77,94","80,43","77,94","80,43","40","2","91,6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","transaction-write","20","20","0","44,98","63,87","163,73","179,75","163,73","179,75","100","5","92,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-25","jdbc","report-aggregation","20","20","0","83,97","53,73","77,09","102,87","77,09","102,87","20","1","80,8","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
