"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","node-24.11.1","prisma","read-by-id","20","20","0","561,72","5,98","8,64","9,72","8,64","9,72","80","4","125","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","paginated-list","20","20","0","704,63","5,03","6,88","7,21","6,88","7,21","20","1","126,1","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","relation-summary-naive","20","20","0","15,21","244,9","313,17","342,74","313,17","342,74","4020","201","157,7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","relation-summary-optimized","20","20","0","403,37","9,51","11,15","11,79","11,15","11,79","40","2","159,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","n-plus-one-trap-naive","20","20","0","28,28","134,63","157,73","174,57","157,73","174,57","2060","103","185,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","n-plus-one-trap-optimized","20","20","0","91,37","38,3","66,54","82,93","66,54","82,93","80","4","185,5","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","transaction-write","20","20","0","208,86","14,03","38","39,87","38","39,87","140","7","186,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","prisma","report-aggregation","20","20","0","438,32","8,66","11,41","11,47","11,41","11,47","20","1","187,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","read-by-id","20","20","0","325,61","11,27","20,04","21,09","20,04","21,09","20","1","84,8","16","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","paginated-list","20","20","0","293,1","12,24","18,71","28,44","18,71","28,44","20","1","89,8","18","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","relation-summary-naive","20","20","0","17,46","226,56","247,74","249,18","247,74","249,18","4020","201","80,6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","relation-summary-optimized","20","20","0","207,01","14,99","25,01","25,64","25,01","25,64","40","2","89,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","n-plus-one-trap-naive","20","20","0","9,54","404,82","555,84","574,31","555,84","574,31","6020","301","82,9","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","n-plus-one-trap-optimized","20","20","0","334,84","11,31","14,65","16","14,65","16","40","2","91,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","transaction-write","20","20","0","200,75","16,13","27,52","27,61","27,52","27,61","100","5","91,7","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","node-24.11.1","jdbc","report-aggregation","20","20","0","219,19","13,56","35,08","38,38","35,08","38,38","20","1","80,6","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
