"run","mode","run_label","stack","scenario","total_requests","successful_requests","error_rate","successful_requests_per_second","p50_ms","p95_ms","p99_ms","successful_p95_ms","successful_p99_ms","sql_query_count","avg_sql_queries_per_successful_request","app_rss_mb","db_connections_used","notes"
"1","smoke","java-21","prisma","read-by-id","20","20","0","492,67","6,73","11,63","11,77","11,63","11,77","80","4","125,2","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","paginated-list","20","20","0","667,94","5,23","9,3","10,31","9,3","10,31","20","1","126","4","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","relation-summary-naive","20","20","0","18,09","205,96","258,39","282,35","258,39","282,35","4020","201","156,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","relation-summary-optimized","20","20","0","401,77","9,53","11,65","12,59","11,65","12,59","40","2","157,3","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","n-plus-one-trap-naive","20","20","0","21,1","169,8","224,47","227,42","224,47","227,42","2060","103","192,4","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","n-plus-one-trap-optimized","20","20","0","142,89","22,66","38,9","40,53","38,9","40,53","80","4","193,2","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","transaction-write","20","20","0","162,28","20,38","35,8","38,01","35,8","38,01","140","7","192,8","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","prisma","report-aggregation","20","20","0","227,56","16,11","25,86","27,12","25,86","27,12","20","1","193,7","13","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","read-by-id","20","20","0","328,2","8,57","17,47","22,52","17,47","22,52","20","1","72,9","16","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","paginated-list","20","20","0","228,08","15,75","22,99","32,08","22,99","32,08","20","1","78,2","18","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","relation-summary-naive","20","20","0","15,73","262,31","288,52","297,44","288,52","297,44","4020","201","74,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","relation-summary-optimized","20","20","0","177,09","16,95","41,16","48,12","41,16","48,12","40","2","83,1","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","n-plus-one-trap-naive","20","20","0","10,09","334,86","522,42","548,45","522,42","548,45","6020","301","83,8","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","n-plus-one-trap-optimized","20","20","0","294,76","11,08","21,02","24,44","21,02","24,44","40","2","92,2","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","transaction-write","20","20","0","158,27","22,11","37,47","38,95","37,47","38,95","100","5","92,8","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
"1","smoke","java-21","jdbc","report-aggregation","20","20","0","216,47","16,87","28,21","31,48","28,21","31,48","20","1","89,3","23","Runner propio HTTP; no es benchmark universal. RSS JDBC usa heap+nonheap si RSS real no esta disponible."
